iter	Passed	Remaining
0	190	189865
1	258	129148
2	301	100261
3	331	82495
4	368	73266
5	398	66051
6	443	62848
7	469	58228
8	499	55014
9	521	51650
10	535	48183
11	584	48143
12	640	48644
13	663	46751
14	683	44910
15	735	45232
16	788	45594
17	828	45200
18	890	45973
19	948	46467
20	996	46456
21	1042	46365
22	1085	46104
23	1130	45965
24	1188	46365
25	1246	46698
26	1285	46337
27	1333	46303
28	1382	46302
29	1445	46735
30	1502	46963
31	1554	47015
32	1613	47278
33	1677	47660
34	1753	48343
35	1814	48580
36	1878	48904
37	1952	49430
38	2013	49621
39	2070	49680
40	2134	49915
41	2194	50053
42	2253	50146
43	2304	50072
44	2351	49909
45	2398	49736
46	2453	49749
47	2509	49772
48	2575	49991
49	2638	50131
50	2710	50441
51	2790	50880
52	2866	51215
53	2937	51463
54	3002	51591
55	3049	51412
56	3100	51288
57	3169	51473
58	3228	51493
59	3282	51429
60	3353	51615
61	3406	51529
62	3471	51633
63	3537	51741
64	3613	51972
65	3701	52379
66	3766	52447
67	3840	52634
68	3899	52618
69	3930	52215
70	3993	52259
71	4048	52182
72	4104	52119
73	4155	51999
74	4195	51746
75	4238	51532
76	4285	51370
77	4323	51101
78	4369	50939
79	4419	50825
80	4450	50489
81	4494	50312
82	4548	50255
83	4599	50161
84	4658	50144
85	4686	49808
86	4741	49756
87	4789	49633
88	4834	49487
89	4881	49359
90	4933	49279
91	4986	49213
92	5035	49112
93	5088	49040
94	5146	49027
95	5202	48994
96	5245	48836
97	5298	48770
98	5346	48662
99	5390	48513
100	5432	48358
101	5486	48302
102	5539	48240
103	5589	48154
104	5648	48146
105	5708	48149
106	5770	48156
107	5818	48053
108	5874	48017
109	5888	47645
110	5943	47602
111	5992	47514
112	6046	47465
113	6108	47476
114	6169	47475
115	6220	47407
116	6275	47359
117	6290	47022
118	6336	46911
119	6387	46845
120	6436	46758
121	6489	46706
122	6547	46681
123	6607	46678
124	6659	46618
125	6713	46570
126	6773	46561
127	6823	46481
128	6868	46373
129	6923	46331
130	6941	46046
131	7043	46314
132	7135	46514
133	7213	46617
134	7271	46589
135	7325	46541
136	7507	47292
137	7633	47684
138	7661	47454
139	7683	47197
140	7777	47381
141	7842	47388
142	7863	47124
143	7948	47250
144	8032	47362
145	8099	47377
146	8230	47758
147	8305	47811
148	8348	47683
149	8404	47627
150	8459	47560
151	8510	47480
152	8564	47410
153	8618	47344
154	8674	47290
155	8733	47248
156	8790	47197
157	8848	47152
158	8873	46935
159	8920	46833
160	8948	46634
161	8993	46523
162	9041	46425
163	9073	46254
164	9121	46158
165	9172	46082
166	9228	46033
167	9270	45909
168	9321	45833
169	9374	45768
170	9424	45688
171	9476	45620
172	9527	45545
173	9589	45520
174	9648	45485
175	9716	45493
176	9781	45479
177	9846	45469
178	9864	45243
179	9918	45183
180	9966	45098
181	10018	45026
182	10053	44881
183	10102	44804
184	10152	44727
185	10167	44495
186	10208	44380
187	10249	44269
188	10299	44196
189	10327	44027
190	10412	44102
191	10473	44076
192	10526	44014
193	10577	43945
194	10654	43985
195	10773	44193
196	10855	44249
197	10931	44279
198	10991	44241
199	11068	44273
200	11128	44238
201	11178	44162
202	11261	44212
203	11330	44210
204	11398	44205
205	11525	44421
206	11622	44523
207	11682	44484
208	11735	44415
209	11786	44340
210	11838	44267
211	11900	44235
212	11950	44156
213	11971	43969
214	12028	43917
215	12088	43878
216	12133	43780
217	12180	43693
218	12240	43650
219	12285	43559
220	12333	43472
221	12384	43400
222	12439	43343
223	12468	43192
224	12546	43215
225	12599	43149
226	12644	43057
227	12700	43003
228	12751	42931
229	12815	42902
230	12875	42863
231	12920	42771
232	12964	42676
233	13017	42612
234	13068	42542
235	13083	42354
236	13096	42162
237	13137	42061
238	13189	41997
239	13250	41958
240	13264	41774
241	13306	41679
242	13356	41607
243	13409	41546
244	13473	41519
245	13571	41597
246	13640	41584
247	13691	41516
248	13744	41455
249	13790	41372
250	13844	41311
251	13861	41144
252	13875	40969
253	13915	40869
254	13957	40779
255	13997	40681
256	14046	40610
257	14104	40562
258	14145	40470
259	14186	40377
260	14228	40287
261	14284	40235
262	14330	40157
263	14377	40081
264	14429	40022
265	14451	39877
266	14502	39812
267	14576	39813
268	14640	39785
269	14699	39742
270	14750	39680
271	14766	39522
272	14825	39479
273	14876	39417
274	14925	39349
275	14989	39320
276	15059	39307
277	15121	39272
278	15179	39228
279	15243	39198
280	15287	39116
281	15309	38978
282	15357	38910
283	15404	38837
284	15459	38785
285	15518	38742
286	15583	38713
287	15649	38688
288	15715	38664
289	15773	38618
290	15843	38600
291	15907	38569
292	15949	38486
293	15997	38416
294	16049	38356
295	16106	38306
296	16161	38254
297	16210	38186
298	16265	38134
299	16322	38086
300	16395	38075
301	16452	38026
302	16515	37990
303	16588	37979
304	16657	37957
305	16718	37916
306	16785	37890
307	16852	37863
308	16911	37818
309	16976	37785
310	17036	37742
311	17062	37625
312	17119	37574
313	17198	37574
314	17216	37439
315	17275	37394
316	17337	37354
317	17413	37344
318	17476	37308
319	17537	37267
320	17613	37257
321	17679	37226
322	17713	37127
323	17772	37080
324	17833	37039
325	17903	37014
326	17948	36940
327	17998	36875
328	18033	36779
329	18064	36676
330	18116	36616
331	18164	36548
332	18178	36411
333	18226	36343
334	18243	36215
335	18258	36081
336	18313	36029
337	18367	35974
338	18416	35909
339	18476	35865
340	18525	35801
341	18542	35674
342	18602	35632
343	18655	35574
344	18707	35518
345	18725	35393
346	18783	35346
347	18839	35297
348	18865	35191
349	18929	35154
350	18998	35127
351	19066	35099
352	19135	35073
353	19190	35019
354	19241	34960
355	19295	34904
356	19348	34848
357	19399	34788
358	19451	34730
359	19505	34676
360	19564	34631
361	19628	34594
362	19653	34487
363	19719	34455
364	19784	34420
365	19843	34374
366	19900	34323
367	19959	34278
368	20020	34236
369	20042	34126
370	20101	34079
371	20149	34016
372	20218	33986
373	20274	33935
374	20291	33819
375	20349	33771
376	20389	33694
377	20443	33639
378	20500	33590
379	20558	33542
380	20621	33502
381	20677	33451
382	20740	33411
383	20793	33355
384	20819	33257
385	20868	33194
386	20915	33130
387	20969	33075
388	21014	33007
389	21073	32960
390	21120	32896
391	21170	32835
392	21230	32790
393	21301	32762
394	21369	32730
395	21430	32686
396	21490	32641
397	21512	32539
398	21579	32503
399	21635	32453
400	21714	32436
401	21781	32401
402	21801	32297
403	21819	32189
404	21889	32158
405	21954	32120
406	22015	32077
407	22081	32040
408	22132	31980
409	22201	31948
410	22251	31888
411	22310	31841
412	22372	31798
